Latest education status,"City of Residence, current","Country of Residence, current",Gender,Choose the digital tools you are currently using for learning:,Industry that you are currently in:,Current stage of DATA CAREER,Is your work city the same as your city of residence?,Work location - specify city,Monthly Salary Range (Or monthly income from main source),Type of work,Work set-up,What best describes MAJORITY of your day-to-day role?,What other descriptions comprise the REST of your role? (Click all that apply),What is the size of your Data Team?,What are the data INGESTION tools you currently use? (Optional),What are the data TRANSFORMATION tools you currently use?  (Optional),What are the data WAREHOUSES you currently use?   (Optional),What are the data ORCHESTRATION tools you currently use?   (Optional),What are the BUSINESS INTELLIGENCE tools you currently use?  (Optional),What are the REVERSE ETL tools you currently use?   (Optional),What are the DATA QUALITY tools you currently use? (Optional),What are the DATA CATALOGS you currently use?   (Optional),What are the cloud platforms that you currently use?    (Optional),What are the non-cloud platforms that you currently use?  (Optional),Which of the following general tools do you use? Choose all that apply.,Which of the following do you use on a regular basis? Choose all that apply.,Do you currently use AI in your workflow or study? Choose all that apply.,Do you use any of the following hosted notebook products?,What hardware do you currently use for data?,Whether or not aware of the free resources in the DEP website,"If aware of the free resources, have you used at least one of the resources in the DEP website?","Thinking of data-related communities, what other Facebook communities do you follow?",Any specific needs you are trying to address by joining DEP Facebook group?,"Any specific tasks, skills, knowledge or resources you are willing to contribute to the group?","Thinking of ways to improve communications in the group, do you have any suggestions?","Thinking of your most recent job, which platform or method gave you the most success?",Type of employer,Age
College degree,"Laguna, Philippines",Philippines,Prefer not to say,"W3Schools, Youtube bootcamp",Not working,Career shifter,Work city same as residence,Baguio City,"35,001 to 45,000",Other - specify,Not working,Not working,Data Analyst,1 - Just me,., , ,N/A,NA,N/A, ,NA,None,PostgreSQL,"OneDrive, MS Teams","Appscript (Google), DAX (Power BI), M language (Power Query), Python, R, SQL","Claude, Gemini",na,laptop,"No, I just found out now.",  ,"FTW Foundation, Project SPARTA","Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Mentor, Co-training/ Training, Volunteer for group initiatives",_,Not working,Unemployed,37
College degree,"Taguig, Philippines",Philippines,Male,"Datacamp, Udemy, University of Helsinki",Non profit,Career shifter,Work city different from residence,Quezon City,"45,001 to 55, 000",Full-time,Mostly work from home/ fully remote,Data Engineer,"Data Engineer, Data Scientist, Business Analyst, Analytics Engineer",4 to 5,na,Power Bi (power query),Don't know,None,Power BI,Don't know,Don't know,.,"Amazon Web Services (AWS), Google Cloud Platform (GCP)","Apache Hadoop, Apache Spark, Apache Kafka, MongoDB, PostgreSQL, Oracle Database, Cloudera, Teradata","Google sheets, Excel, Google Drive, Monday.com, Google Meet, Slack, Discord",SQL,"No, I do not use AI currently",Colab Notebooks,laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines",Career advancement,"Answer surveys, Joint initiative with other groups, Resource for specific topic",Interactions,LinkedIn,Local employer,24
College degree,"Quezon City, Philippines",Philippines,Male,"LinkedIn Learning, W3Schools",Non-profit,Student/ New grad/ Career Break,_,.,, ,NONE,none,NA,  ,none,_,NA,  ,NA,NA,NA,NA, ,NONE,"Excel, Google Drive, Zoom, MS Teams, Google Meet","DAX (Power BI), Python, SQL","Chatgpt, Copilot, Gemini",Replit,laptop,"No, I just found out now.","No, I just browsed through.",Power BI Philippines UG,"Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,.,NONE,Local employer,22
College degree,"Nueva Ecija, Philippines",Philippines,Male,"Khan Academy, MicrosoftLearn",Manufacturing,Career shifter,Work city different from residence,Makati,"35,001 to 45,000",Full-time,Hybrid,Data Scientist,"Data Engineer, Business Analyst",6 to 10,  ,Pandas,N/A,none,Power BI, ,NONE,none,.,_,"Google sheets, Excel, OneDrive, MS Teams",_,Chatgpt,N/A,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",N/A,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Volunteer for group initiatives",None,LinkedIn,Local employer,31
College degree,"Calamba City, Philippines",Philippines,Male,Cisco,,Student/ New grad/ Career Break,NONE,none,,.,.,none,., , ,none,None,None,  ,none,  ,.,NONE,_,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Python, SQL","Chatgpt, Copilot, Gemini, Github copilot",Azure Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",NONE,na,Answer surveys,.,NA,None,23
Secondary school student,"Calamba City, Philippines",Philippines,Female,"Datacamp, LinkedIn Learning, MicrosoftLearn, W3Schools","IT, BPO, and Business Services",Student/ New grad/ Career Break,na,NONE,,NA,NA,None,none,na,  ,none,"Azure Synapse, Don't know",NA,"Tableau, Periscope, Mixpanel",Don't know,Don't know,NONE,Microsoft ,Splunk,"Google sheets, Dropbox, Google Drive, OneDrive, Asana, Zoom, MS Teams, Google Meet, Slack, Discord",SQL,"Chatgpt, Gemini","Kaggle Notebooks, IBM Watson Studio",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",.,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Regularly post content, Volunteer for group initiatives, Volunteer to speak in events",None,none,  ,22
College degree,"Baguio City, Philippines",Philippines,Female,Not currently using any digital tools for learning,Public Policy Research,Career shifter,Work city different from residence,Mandaluyong,"25,001 to 35,000",Full-time,Mostly work from home/ fully remote,student,Developer,1 - Just me,Tools developed internally,Don't know,Big Query,Airflow,  ,na,NA,.,"Amazon Web Services (AWS), Microsoft Azure", ,"Google sheets, Excel, Google Drive, OneDrive, MS Teams, Google Meet, Jira",none,"Chatgpt, Gemini",_,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",none,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Co-training/ Training",NONE,"LinkedIn, Glassdoor",Multinational employer,28
College degree,San Jose del Monte ,Philippines,Male,"LinkedIn Learning, Youtube bootcamp","IT, BPO, and Business Services",Professional,Work city different from residence,"Pasig, Metro Manila","35,001 to 45,000",Full-time,Mostly work from home/ fully remote,Data Analyst,Data Engineer,4 to 5,.,Pandas,none,NA,Power BI,N/A,none, ,Don't know,none,"Google sheets, Excel, Google Drive, Asana, Google Meet, Slack, Discord",.,"Chatgpt, Copilot", ,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Joint initiative with other groups",I don't have a suggestion at the moment.,LinkedIn,Multinational employer,26
College degree,Olongapo City,Philippines,Male,"Coursera, Datacamp, edX, Freecodecamp, LinkedIn Learning, SoloLearn, Youtube bootcamp",Government research agency,Student/ New grad/ Career Break,  ,none,,none,none,  ,_,.,None,NA,None,NA,.,NA,na,NONE,none,na,"Google sheets, Excel, Google Drive, OneDrive, Clickup, Monday.com, Trello, Zoom, MS Teams, Google Meet","Javascript, Python, SQL",NONE,N/A,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Data Analytics Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events",N/A,na,.,21
College degree,Pateros,Philippines,Prefer not to say,"Datacamp, edX, Freecodecamp, Khan Academy, LeetCode, Udemy, W3Schools",Not working,Student/ New grad/ Career Break,none, ,,.,.,NA,None,none,None,na,N/A,  ,NA,NA,  ,_,none,none,"Google Drive, Slack, Discord","Appscript (Google), Javascript, Python, R, SQL, Typescript","Chatgpt, Claude",Kaggle Notebooks,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Data Analytics Philippines, Data and Analytics Manila, Data Ethics PH, Datasense Philippines, DEVCON Philippines, Digital Analytics Philippines, Power BI Users Meetup",none,"Answer surveys, Coordinate during events, Co-training/ Training, Volunteer for group initiatives",  ,None,_,25
