educstat,city,country,gender,digitools,industry,careerstg,worksame,workcity,salary,typework,sitework,datarole,restofrole,sizeteam,ingestion,transform,warehs,orchest,busint,reversetl,dataqual,datacatalog,cloudplat,noncloudplat,generaltools,whatused,useai,hostedntbk,hardware,depwebsite,depwebres,otherfb,spneeds,volunteer,comms,successmethod,employertype,age_grp
College degree,"Laguna, Philippines",Philippines,Prefer not to say,"W3Schools, Youtube bootcamp",Not working,Career shifter,Work city same as residence,Baguio City,"35,001 to 45,000",Other - specify,Not working,Not working,Data Analyst,1 - Just me,,,,,,,,,,PostgreSQL,"OneDrive, MS Teams","Appscript (Google), DAX (Power BI), M language (Power Query), Python, R, SQL","Claude, Gemini",,laptop,"No, I just found out now.",,"FTW Foundation, Project SPARTA","Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Mentor, Co-training/ Training, Volunteer for group initiatives",,Not working,Unemployed,35 to 39
College degree,"Taguig, Philippines",Philippines,Male,"Datacamp, Udemy, University of Helsinki",Non profit,Career shifter,Work city different from residence,Quezon City,"45,001 to 55, 000",Full-time,Mostly work from home/ fully remote,Data Engineer,"Data Engineer, Data Scientist, Business Analyst, Analytics Engineer",4 to 5,,Power Bi (power query),Don't know,,Power BI,Don't know,Don't know,,"Amazon Web Services (AWS), Google Cloud Platform (GCP)","Apache Hadoop, Apache Spark, Apache Kafka, MongoDB, PostgreSQL, Oracle Database, Cloudera, Teradata","Google sheets, Excel, Google Drive, Monday.com, Google Meet, Slack, Discord",SQL,"No, I do not use AI currently",Colab Notebooks,laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines",Career advancement,"Answer surveys, Joint initiative with other groups, Resource for specific topic",Interactions,LinkedIn,Local employer,20 to 24
College degree,"Quezon City, Philippines",Philippines,Male,"LinkedIn Learning, W3Schools",Non-profit,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Excel, Google Drive, Zoom, MS Teams, Google Meet","DAX (Power BI), Python, SQL","Chatgpt, Copilot, Gemini",Replit,laptop,"No, I just found out now.","No, I just browsed through.",Power BI Philippines UG,"Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,,,Local employer,20 to 24
College degree,"Nueva Ecija, Philippines",Philippines,Male,"Khan Academy, MicrosoftLearn",Manufacturing,Career shifter,Work city different from residence,Makati,"35,001 to 45,000",Full-time,Hybrid,Data Scientist,"Data Engineer, Business Analyst",6 to 10,,Pandas,,,Power BI,,,,,,"Google sheets, Excel, OneDrive, MS Teams",,Chatgpt,,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Volunteer for group initiatives",,LinkedIn,Local employer,30 to 34
College degree,"Calamba City, Philippines",Philippines,Male,Cisco,,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Python, SQL","Chatgpt, Copilot, Gemini, Github copilot",Azure Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,,Answer surveys,,,,20 to 24
Secondary school student,"Calamba City, Philippines",Philippines,Female,"Datacamp, LinkedIn Learning, MicrosoftLearn, W3Schools","IT, BPO, and Business Services",Student/ New grad/ Career Break,,,,,,,,,,,"Azure Synapse, Don't know",,"Tableau, Periscope, Mixpanel",Don't know,Don't know,,Microsoft ,Splunk,"Google sheets, Dropbox, Google Drive, OneDrive, Asana, Zoom, MS Teams, Google Meet, Slack, Discord",SQL,"Chatgpt, Gemini","Kaggle Notebooks, IBM Watson Studio",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Regularly post content, Volunteer for group initiatives, Volunteer to speak in events",,,,20 to 24
College degree,"Baguio City, Philippines",Philippines,Female,Not currently using any digital tools for learning,Public Policy Research,Career shifter,Work city different from residence,Mandaluyong,"25,001 to 35,000",Full-time,Mostly work from home/ fully remote,student,Developer,1 - Just me,Tools developed internally,Don't know,Big Query,Airflow,,,,,"Amazon Web Services (AWS), Microsoft Azure",,"Google sheets, Excel, Google Drive, OneDrive, MS Teams, Google Meet, Jira",none,"Chatgpt, Gemini",,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Co-training/ Training",,"LinkedIn, Glassdoor",Multinational employer,25 to 29
College degree,San Jose del Monte ,Philippines,Male,"LinkedIn Learning, Youtube bootcamp","IT, BPO, and Business Services",Professional,Work city different from residence,"Pasig, Metro Manila","35,001 to 45,000",Full-time,Mostly work from home/ fully remote,Data Analyst,Data Engineer,4 to 5,,Pandas,,,Power BI,,,,Don't know,,"Google sheets, Excel, Google Drive, Asana, Google Meet, Slack, Discord",,"Chatgpt, Copilot",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Joint initiative with other groups",I don't have a suggestion at the moment.,LinkedIn,Multinational employer,25 to 29
College degree,Olongapo City,Philippines,Male,"Coursera, Datacamp, edX, Freecodecamp, LinkedIn Learning, SoloLearn, Youtube bootcamp",Government research agency,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Clickup, Monday.com, Trello, Zoom, MS Teams, Google Meet","Javascript, Python, SQL",,,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Data Analytics Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events",,,,20 to 24
College degree,Pateros,Philippines,Prefer not to say,"Datacamp, edX, Freecodecamp, Khan Academy, LeetCode, Udemy, W3Schools",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google Drive, Slack, Discord","Appscript (Google), Javascript, Python, R, SQL, Typescript","Chatgpt, Claude",Kaggle Notebooks,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Data Analytics Philippines, Data and Analytics Manila, Data Ethics PH, Datasense Philippines, DEVCON Philippines, Digital Analytics Philippines, Power BI Users Meetup",,"Answer surveys, Coordinate during events, Co-training/ Training, Volunteer for group initiatives",,,,25 to 29
